pl_name,hostname,sy_snum,sy_pnum,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,rastr,ra,decstr,dec,glat,glon,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,rowupdate,pl_pubdate
K2-6 b,K2-6,1,1,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,30.94464800000,,,0,,,,,3.06000000,,,0,,,,,,,,,,,,,,,,,0,,5710.00,,,0,0.960000,,,0,,,,,,,,,,11h52m46.11s,178.1921152,-01d11m54.39s,-1.1984418,58.34897,274.08780,316.81900000,6.45800000,-6.21000000,3.1289700,0.0626032,-0.0626032,2015-12-05,2016-01
K2-6 b,K2-6,1,1,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,30.94030000000,0.00230000000,-0.00270000000,0,,,,,2.44000000,0.12000000,-0.28000000,0,,,,,,,,,,,,,,,,,0,,,,,,0.864900,0.006400,-0.008700,0,,,,,,,,,,11h52m46.11s,178.1921152,-01d11m54.39s,-1.1984418,58.34897,274.08780,316.81900000,6.45800000,-6.21000000,3.1289700,0.0626032,-0.0626032,2019-09-05,2019-09
K2-60 b,K2-60,1,1,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,3.00262150000,0.00001860000,-0.00001860000,0,,,,,14.06720000,2.02594000,-2.02594000,0,,,,,,,,,4289.2700,,,0,2254.00,,,0,0,,5630.00,105.10,-105.10,0,1.450000,0.070000,-0.070000,0,,,,,,,,,,22h34m25.50s,338.6062312,-13d43m54.50s,-13.7318044,-55.37019,48.74576,491.87000000,11.47000000,-10.96900000,2.0052300,0.0460023,-0.0460023,2022-08-09,2017-07
K2-60 b,K2-60,1,1,<a refstr=EIGM_UUML_LLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..130E/abstract target=ref>Eigm&uuml;ller et al. 2017</a>,3.00265000000,0.00004000000,-0.00004000000,0,0.0450000000,0.0030000000,-0.0030000000,0,7.65574700,0.41473300,-0.41473300,0,1.700000,0.300000,-0.300000,0,0.000000,,,0,,,,,1400.00,50.00,-50.00,0,0,G4 V,5500.00,100.00,-100.00,0,1.120000,0.050000,-0.050000,0,0.970000,0.070000,-0.070000,0,0.0100,0.1100,-0.1100,0,[Fe/H],22h34m25.50s,338.6062312,-13d43m54.50s,-13.7318044,-55.37019,48.74576,491.87000000,11.47000000,-10.96900000,2.0052300,0.0460023,-0.0460023,2017-01-31,2017-03
K2-60 b,K2-60,1,1,<a refstr=SCHMITT_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....151..159S/abstract target=ref>Schmitt et al. 2016</a>,3.00260000000,0.00120000000,-0.00120000000,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,5630.00,109.64,-100.55,0,1.454790,0.076465,-0.068756,0,1.000000,0.163139,-0.087235,0,0.1800,0.1000,-0.1000,0,[M/H],22h34m25.50s,338.6062312,-13d43m54.50s,-13.7318044,-55.37019,48.74576,491.87000000,11.47000000,-10.96900000,2.0052300,0.0460023,-0.0460023,2016-06-09,2016-06
K2-60 b,K2-60,1,1,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,3.00262700000,0.00001800000,-0.00001800000,0,0.0417900000,0.0007700000,-0.0007700000,0,9.90000000,1.00000000,-1.00000000,0,,,,,,,,,1212.0000,265.0000,-265.0000,0,,,,,0,,5749.00,98.00,-98.00,0,1.470000,0.150000,-0.150000,0,1.080000,0.060000,-0.060000,0,,,,,,22h34m25.50s,338.6062312,-13d43m54.50s,-13.7318044,-55.37019,48.74576,491.87000000,11.47000000,-10.96900000,2.0052300,0.0460023,-0.0460023,2017-01-31,2016-09
K2-60 b,K2-60,1,1,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,3.00263760000,,,0,,,,,6.45000000,,,0,,,,,,,,,,,,,,,,,0,,5425.00,,,0,0.860000,,,0,,,,,,,,,,22h34m25.50s,338.6062312,-13d43m54.50s,-13.7318044,-55.37019,48.74576,491.87000000,11.47000000,-10.96900000,2.0052300,0.0460023,-0.0460023,2015-12-05,2016-01
K2-60 b,K2-60,1,1,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,3.00234671000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,5630.00,109.64,-100.55,0,1.454790,0.076465,-0.068756,0,1.000000,0.163139,-0.087235,0,0.1800,0.1000,-0.1000,0,[M/H],22h34m25.50s,338.6062312,-13d43m54.50s,-13.7318044,-55.37019,48.74576,491.87000000,11.47000000,-10.96900000,2.0052300,0.0460023,-0.0460023,2016-12-21,2016-10
K2-60 b,K2-60,1,1,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,3.00265400000,0.00001300000,-0.00001300000,0,,,,,10.45000000,0.64000000,-0.39000000,0,,,,,,,,,,,,,,,,,0,,,,,,1.525000,0.092000,-0.051000,0,,,,,,,,,,22h34m25.50s,338.6062312,-13d43m54.50s,-13.7318044,-55.37019,48.74576,491.87000000,11.47000000,-10.96900000,2.0052300,0.0460023,-0.0460023,2019-09-05,2019-09
K2-61 b,K2-61,1,1,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,2.57275378000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,5718.00,165.15,-90.95,0,1.001250,0.035806,-0.071531,0,1.020000,0.145574,-0.114946,0,,,,,,22h38m41.96s,339.6748444,-13d33m36.16s,-13.5600447,-56.20059,49.89609,405.73200000,8.41300000,-8.08300000,2.4369400,0.0497060,-0.0497060,2016-12-21,2016-10
