pl_name,hostname,sy_snum,sy_pnum,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,rastr,ra,decstr,dec,glat,glon,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,rowupdate,pl_pubdate
TOI-5293 A b,TOI-5293 A,2,1,<a refstr=CA_NTILDE_AS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...30C/abstract target=ref>Ca&ntilde;as et al. 2023</a>,2.930289,4e-06,-4e-06,0.0,0.034,0.004,-0.003,0.0,11.9,0.4,-0.4,0.0,0.56,0.09,-0.09,0.0,0.38,,,1.0,34.6,8.6,-6.2,0.0,675.0,42.0,-30.0,0.0,0,M3+/-1,3586.0,88.0,-88.0,0.0,0.52,0.02,-0.01,0.0,0.54,0.02,-0.02,0.0,-0.03,0.12,-0.12,0.0,[Fe/H],23h43m18.88s,355.828682,-02d02m42.34s,-2.0450945,-60.07625,87.00512,162.229,1.316,-1.295,6.13575,0.0492247,-0.0492247,2023-07-21,2023-07
TOI-532 b,TOI-532,1,1,<a refstr=KANODIA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..135K/abstract target=ref>Kanodia et al. 2021</a>,2.3266508,3e-06,-3e-06,0.0,0.0296,0.00035,-0.00035,0.0,5.82,0.19,-0.19,0.0,1.72,0.31,-0.31,0.0,0.0,,,0.0,94.1,8.0,-8.0,0.0,867.0,18.0,-18.0,0.0,0,,3927.0,37.0,-37.0,0.0,0.612,0.013,-0.012,0.0,0.639,0.023,-0.023,0.0,0.338,0.072,-0.066,0.0,[Fe/H],05h40m19.21s,85.0800537,+11d33m45.49s,11.5626373,-10.06986,194.28568,135.047,0.548,-0.548,7.37607,0.0298233,-0.0298233,2021-08-16,2021-10
TOI-5344 b,TOI-5344,1,1,<a refstr=HAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231020634H/abstract target=ref>Han et al. 2023</a>,3.792622,1e-05,-1e-05,0.0,0.04,0.0005,-0.0005,0.0,9.7,0.5,-0.5,0.0,0.8,0.17,-0.15,0.0,0.06,0.07,-0.04,0.0,35.0,3.0,-3.0,0.0,679.0,14.0,-14.0,0.0,0,,3770.0,88.0,-88.0,0.0,0.563,0.016,-0.016,0.0,0.59,0.02,-0.03,0.0,0.48,0.12,-0.12,0.0,[Fe/H],04h13m03.89s,63.2662165,+20d54m54.56s,20.9151568,-21.53476,173.63114,138.367,1.336,-1.311,7.19927,0.068582,-0.068582,2024-02-17,2023-10
TOI-5344 b,TOI-5344,1,1,<a refstr=HARTMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..163H/abstract target=ref>Hartman et al. 2023</a>,3.792622,6.2e-06,-6.2e-06,0.0,0.04041,0.00075,-0.00075,0.0,10.60369574,0.23538859,-0.23538859,0.0,0.604,0.063,-0.063,0.0,0.054,,,1.0,38.0,3.0,-3.0,0.0,689.0,12.0,-12.0,0.0,0,,3747.0,64.0,-64.0,0.0,0.588,0.011,-0.011,0.0,0.612,0.034,-0.034,0.0,0.425,0.088,-0.088,0.0,[Fe/H],04h13m03.89s,63.2662165,+20d54m54.56s,20.9151568,-21.53476,173.63114,138.367,1.336,-1.311,7.19927,0.068582,-0.068582,2023-11-07,2023-10
TOI-5542 b,TOI-5542,1,1,<a refstr=GRIEVES_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220914830G/abstract target=ref>Grieves et al. 2022</a>,75.12375,0.00019,-0.00018,0.0,0.332,0.016,-0.016,0.0,11.30986153,0.40352331,-0.39231432,0.0,1.6,0.22,-0.19,0.0,0.018,0.026,-0.013,0.0,9.6,1.0,-0.9,0.0,441.0,48.0,-74.0,0.0,0,G3 V,5700.0,80.0,-80.0,0.0,1.058,0.036,-0.036,0.0,0.89,0.056,-0.031,0.0,-0.21,0.08,-0.08,0.0,[Fe/H],20h11m11.62s,302.7984228,-61d08m07.68s,-61.1354659,-33.08256,335.72494,348.849,3.678,-3.604,2.83809,0.0296944,-0.0296944,2022-10-10,2022-09
TOI-561 b,TOI-561,1,4,<a refstr=PIOTTO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.535.2763P/abstract target=ref>Piotto et al. 2024</a>,0.4465697,3e-07,-3e-07,0.0,0.01064,0.00016,-0.00016,0.0,1.397,0.027,-0.027,0.0,4.1,0.5,-0.5,0.0,0.0,,,0.0,4709.0,153.0,-153.0,0.0,2319.0,34.0,-34.0,0.0,0,,,,,,0.843,0.005,-0.005,0.0,0.806,0.036,-0.036,0.0,,,,,,09h52m44.44s,148.1851516,+06d12m57.97s,6.216103,42.72934,230.84909,85.799,0.4988,-0.4932,11.6268,0.0668703,-0.0668703,2025-02-24,2024-12
TOI-561 b,TOI-561,1,4,<a refstr=LACEDELLI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.4551L/abstract target=ref>Lacedelli et al. 2022</a>,0.4465688,7e-07,-8e-07,0.0,0.0106,0.0001,-0.0001,0.0,1.425,0.037,-0.037,0.0,3.8,0.5,-0.5,0.0,0.0,,,0.0,4745.0,269.0,-269.0,0.0,2310.0,33.0,-33.0,0.0,0,G9 V,5372.0,70.0,-70.0,0.0,0.843,0.005,-0.005,0.0,0.806,0.036,-0.036,0.0,-0.4,0.05,-0.05,0.0,[Fe/H],09h52m44.44s,148.1851516,+06d12m57.97s,6.216103,42.72934,230.84909,85.799,0.4988,-0.4932,11.6268,0.0668703,-0.0668703,2023-03-15,2022-04
TOI-561 c,TOI-561,1,4,<a refstr=LACEDELLI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.4551L/abstract target=ref>Lacedelli et al. 2022</a>,10.778831,3.4e-05,-3.6e-05,0.0,0.0884,0.0009,-0.0009,0.0,2.91,0.04,-0.04,0.0,1.2,0.2,-0.2,0.0,0.03,0.035,-0.021,0.0,68.2,3.9,-3.9,0.0,800.0,11.0,-11.0,0.0,0,G9 V,5372.0,70.0,-70.0,0.0,0.843,0.005,-0.005,0.0,0.806,0.036,-0.036,0.0,-0.4,0.05,-0.05,0.0,[Fe/H],09h52m44.44s,148.1851516,+06d12m57.97s,6.216103,42.72934,230.84909,85.799,0.4988,-0.4932,11.6268,0.0668703,-0.0668703,2023-03-15,2022-04
TOI-561 c,TOI-561,1,4,<a refstr=PIOTTO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.535.2763P/abstract target=ref>Piotto et al. 2024</a>,10.778838,1.8e-05,-1.8e-05,0.0,0.0889,0.0013,-0.0013,0.0,2.865,0.041,-0.041,0.0,1.3,0.2,-0.2,0.0,0.023,0.034,-0.017,0.0,67.5,2.2,-2.2,0.0,802.0,12.0,-12.0,0.0,0,,,,,,0.843,0.005,-0.005,0.0,0.806,0.036,-0.036,0.0,,,,,,09h52m44.44s,148.1851516,+06d12m57.97s,6.216103,42.72934,230.84909,85.799,0.4988,-0.4932,11.6268,0.0668703,-0.0668703,2025-02-24,2024-12
TOI-561 d,TOI-561,1,4,<a refstr=PIOTTO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.535.2763P/abstract target=ref>Piotto et al. 2024</a>,25.71268,0.00012,-0.00012,0.0,0.1587,0.0024,-0.0024,0.0,2.615,0.059,-0.059,0.0,4.1,0.4,-0.4,0.0,0.111,0.05,-0.039,0.0,21.2,0.7,-0.7,0.0,600.0,9.0,-9.0,0.0,0,,,,,,0.843,0.005,-0.005,0.0,0.806,0.036,-0.036,0.0,,,,,,09h52m44.44s,148.1851516,+06d12m57.97s,6.216103,42.72934,230.84909,85.799,0.4988,-0.4932,11.6268,0.0668703,-0.0668703,2025-02-24,2024-12
